content,score,reviewCreatedVersion,at
kemanapun pergi terasa mudah,5,5.18.2,2025-05-15 09:36:54
padahal udh isi saldo gopay 100rb tapi di gopay nya gak ada bukti isi saldo juga ada gmn ini gojek,5,5.18.2,2025-05-15 09:34:11
Memuaskan dan Nyaman,5,5.18.2,2025-05-15 09:33:24
"Parah gojek, mau di kasih makan apa keluarga kalo akun gojek setiap hari anyep terus ini, yah 😡",1,5.18.2,2025-05-15 09:04:38
"isi gopay ga langsung masuk,bener bener sampe harus berkali kali buka tutup aplikasi",1,5.18.2,2025-05-15 09:00:40
"apk ny lumyn, tpi drivernya kenapa pada egk sopan?? pliss ya gw mending pindah ke indrive, perhitungan banget drivernya",1,5.18.2,2025-05-15 08:13:53
okee,5,5.18.2,2025-05-15 08:08:50
mantab .. respon cepat,5,5.18.2,2025-05-15 07:51:55
"pertama kalinya gue di kecewain sama gofood, beli di TIANLALA, RAYA REGENCY, LEMONNYA BUSUK, bukannya di buang, malah di jual, rasanya aneh, kalo beli 1 mending, gue beli 4, terpaksa gue buang semua,dah gitu di bawah gelasnya ada CAIRAN PUTIH LENGKET, udah komplen, gak di tanggapi sama sekali",1,5.19.1,2025-05-15 07:44:41
hampir 1 jam nunggu driver datang...capek bgt rsx,1,5.18.2,2025-05-15 07:41:47
kerenn cukk..,5,5.18.2,2025-05-15 07:40:45
mantab,5,5.18.2,2025-05-15 07:32:12
lbh.praktis.,5,5.18.2,2025-05-15 07:14:00
"Kecewa dengan app gojek karena tidak ada fitur pembatalan pemesanan makanan, padahal belum ada 5 menit dari proses saya pencet fitur pesan, itu saya salah pencet, masa iya baru 5 menit pesanan langsung sudah disiapkan",4,5.18.2,2025-05-15 07:09:52
"pesan gopood skrg lama banget dapet driver nya, gak seperti grab pas order langsung dapet driver, gojek payah klw order makanan harus nunggu 30mnt baru dapet driver",1,5.7.2,2025-05-15 06:48:57
sangat berguna buat driver,5,5.18.2,2025-05-15 06:39:42
bagussssssssss,5,5.18.2,2025-05-15 06:35:34
harus di perbaiki lagi sebelum terjadi yang tidak di inggin kan costumer,3,4.70.1,2025-05-15 06:32:37
ok,5,5.18.2,2025-05-15 06:30:50
great,5,5.18.2,2025-05-15 06:24:46
sangat membantu,5,5.17.1,2025-05-15 06:10:09
bagus,5,5.18.2,2025-05-15 05:48:19
bagus banget,5,5.18.2,2025-05-15 05:33:27
mantapp banyak promo🙆,5,5.18.2,2025-05-15 05:21:18
aplikasi berguna,5,5.18.2,2025-05-15 05:18:02
good job,5,5.18.2,2025-05-15 05:17:22
"Gojek sangat membantu untuk saya dan teman-teman saya agar sampai rumah, serta banyak sekali promo besar-besar an hingga disc 10.000😊❤🙏🏻 dan bapak-bapak gojek di kota Solo sangat baik dan ramah sekali, bintang 5😊❤",5,5.18.2,2025-05-15 05:17:21
saya tidak bisa chat restoran untuk menambahkan notes pesanan sehingga pesanan sudah terlanjur dibuat. harusnya pembeli diberi akses untuk bisa chat restonya,3,5.18.2,2025-05-15 05:11:35
saya ngga dapet driver lama bgt,1,5.18.2,2025-05-15 05:01:39
"driver nya gercep,sat set terimakasih 🙏 sukses terus gojek💪👍",5,5.18.2,2025-05-15 04:46:14
keren lah aplikasi nya,5,5.12.1,2025-05-15 04:33:12
Sangat membantu,5,5.18.2,2025-05-15 04:25:36
mahal gak ad promo go food ll,3,5.18.2,2025-05-15 04:18:41
sippp,5,5.18.2,2025-05-15 04:16:41
"🍄🍄🍄🍄🍄SY DRIVER YG JG CUSTOMER. YTH CUSTOMER, TOLONG KALAU BERI TIP ""DARI APLIKASI"", SEGERA CHATTING KE DRIVER SEBELUM CHATTINGAN DI TUTUP. KARENA ""TIP"" sering masuuk ""TERLAMBAT"".",5,5.18.2,2025-05-15 04:00:41
"bagus, mantap",5,5.18.2,2025-05-15 03:50:12
aman,5,5.18.2,2025-05-15 03:41:41
mantap,5,5.18.2,2025-05-15 03:40:09
membantu,4,5.18.2,2025-05-15 03:31:29
"Good, apa apa serba gampang, ga ribet jg make nyaa",5,5.18.2,2025-05-15 03:29:05
sangat membantu untuk bepergian yang tidak memiliki kendaraan. terimakasih sukses selalu ☺️,5,5.18.2,2025-05-15 03:26:10
Gojek Gocar layanan terbaik pokoknya top lah,5,5.18.2,2025-05-15 03:24:47
membantu,5,5.19.1,2025-05-15 03:20:08
"sangat membantu ,sat set sat set kalo jemput anak sekolah",5,5.18.2,2025-05-15 03:11:47
Bagus,5,5.18.2,2025-05-15 03:03:37
god job,5,5.18.2,2025-05-15 02:50:33
"sudah lama pakai goride dan gocar, selalu puas.",5,5.18.2,2025-05-15 02:47:27
aplikasi blank,2,5.19.1,2025-05-15 02:44:41
"hari ini gak bisa pesan motor, dipaksa pesan mobil, tarik saldo harus upgrade isi data ktp, ribetnya lebih ribet daripada persatuan pinjol.",5,5.13.1,2025-05-15 02:43:02
istmwa,5,5.18.2,2025-05-15 02:37:58
suka banget,5,5.18.2,2025-05-15 02:32:35
saya tidak bisa verifikasi muka dan uang di gopay saya tidak bisa di pakai,1,5.19.1,2025-05-15 02:27:12
tingkatkan,5,5.15.1,2025-05-15 02:22:38
bagus,5,5.18.2,2025-05-15 02:16:41
mntap,5,5.18.2,2025-05-15 02:08:41
"sangat membantu kemudahan bertransportasi,banyak voucher diskon dan aman.",5,5.18.2,2025-05-15 02:07:17
memuaskan,5,5.18.2,2025-05-15 02:06:29
"sangat puas gercep,ramah...joss",5,5.18.2,2025-05-15 02:01:01
sip banget,5,5.18.2,2025-05-15 01:56:38
sikap yang baik dan ramah,5,5.18.2,2025-05-15 01:55:29
nyaman,4,5.18.2,2025-05-15 01:29:05
Kadang suka kecewa ada voucher tapi tidak bisa apply ini sudah berkali kali saya alami terutama voucher goride,3,5.18.2,2025-05-15 01:23:14
tepat waktu,5,5.18.2,2025-05-15 01:15:01
cakepp,5,5.18.2,2025-05-15 01:13:11
good job,5,5.18.2,2025-05-15 01:08:58
thankyu gojek lop u 🫰🏻,5,5.18.2,2025-05-15 01:08:32
sangat membantu,5,5.18.2,2025-05-15 01:05:39
"Apk-nya benar2 sangat membantu untuk kehidupan sehari2. Tapi tolong lakukan sesuatu untuk driver2 yg problematik, tarif rendah marahnya ke pelanggan, disasarin maps marahnya juga ke pelanggan, semau2 cancel padahal udah konfirmasi dan nunggu lama, n driver2 moody yg ga kenapa2 jutek. Dikasih bintang rendah bukan solusi cuma memicu konflik lebih besar.",4,5.18.2,2025-05-15 01:00:54
Sangat gampang pengoperasiannya dan cepat.,5,5.5.1,2025-05-15 00:58:41
"susah dpt driver kalo ujan dan sesudah ujan. kadang kita chat, didiemin, orderan diterima tp kaga jln. di chat bisa jmput apa kaga, diem aja. minimal bales kek drivernya, jgn bikin org gelisah, kek di phpin.",3,5.18.2,2025-05-15 00:56:50
tambahkan metode pembayaran ovo!!!,2,5.18.2,2025-05-15 00:50:33
suasana bikin aman dan nyaman tks Pk driver,5,5.17.1,2025-05-15 00:48:18
"padahal baru daftar sudah diminta masukan go to pin, sy mana tau go to pin nya berapa jadi menurut sy aplikasi ini mengada ngada dan ribet",1,5.18.2,2025-05-15 00:14:25
mantap,5,5.18.2,2025-05-15 00:09:46
bagus cepat servisnya,5,5.18.2,2025-05-15 00:01:30
keren mantap cihuy,5,5.18.2,2025-05-14 23:58:12
bagus,5,5.18.2,2025-05-14 23:46:16
aplikasi bagus,5,5.14.2,2025-05-14 23:37:32
"aman,nyaman dan amanah",5,5.14.2,2025-05-14 23:28:25
Nice,5,5.6.1,2025-05-14 23:23:10
tim Gojek akan menampung keluhan tersebut dan berusaha menyelesaikannya dalam waktu secepat mungkin terkait akun dan kemanan,5,5.18.2,2025-05-14 22:53:07
banyakin promo donk,5,5.18.2,2025-05-14 22:28:15
sangat membantu untuk perjalanan,5,5.18.2,2025-05-14 22:02:16
gimana nya ini saya sudah isi kuota internet kok gak masuk minimal gopay nya jangan di potonglah kalau gak masuk tolong di urus y,1,5.17.1,2025-05-14 18:18:29
sangat membantu,5,5.18.2,2025-05-14 18:14:07
tingkatan lg pelayanannya...,5,5.18.2,2025-05-14 17:43:01
"Sumpah gojek gak jelas bgt, awalnya ada voucher bayarnya pake gopay. Udah di top up buat beli makan, malah tbtb vouchernya hilang dan balik lagi jadi harga awal. Maksudnya apa yang voucher tadi? demi kesel bgt",3,5.11.1,2025-05-14 17:21:16
terbaik,5,5.18.2,2025-05-14 16:43:10
"Friendly user, gak pake lemot",5,5.18.2,2025-05-14 16:30:39
puas,5,5.18.2,2025-05-14 16:23:42
Mantap,5,5.18.2,2025-05-14 16:22:31
sangat membantu,5,5.18.2,2025-05-14 16:08:32
Bagus,5,5.18.2,2025-05-14 16:01:40
"sopan ,rama",5,5.18.2,2025-05-14 15:42:17
"harga makanan di GO-FOOD lebih mahal dari harga beli langsung,, di tambah lagi biaya penanganan dan ongkos nya... gila... mending INDRIVE... harga makanan sama dengan beli langsung, dan ongkir nya jga murah,,, bye bye...",1,5.18.2,2025-05-14 15:27:36
bagus untuk aplikasinya,5,5.18.2,2025-05-14 15:10:06
bagus,5,5.18.2,2025-05-14 15:06:39
"ini gojek lagi knp ya,saya tidak melakukan transaksi apapun tapi saldo saya kepotong,dan saya sudah melapor tapi tidak ada jawabannya,sekarang akun saya hilang dan saldo saya pun juga ikut hilang",1,5.18.2,2025-05-14 14:59:42
"gila,pesen dr jam 19.17 sampe 21.04 baru sampai,gak mikir apa klo ada customer yg punya penyakit maag atau asam lambung. ini bukan masalah driver atau resto nya tp masalah sistem anda yg gak jelas,mau pesan di ksh pilihan,expres,reguler,dan ekonomi,tp estimasi cuma selisih 5 mnt doang. pake embel"" hemat atau murah,tp customer bayar full,tp driver nerima gak sesuai ongkir normal. udahlah,balikin sistem seperti dlu aja,sistem terdekat,kasian driver jemput nya jauh,kasian customer nunggu kelamaan.",1,5.10.1,2025-05-14 14:50:43
mantap,5,5.18.2,2025-05-14 14:50:42
enak tarif cuma goceng,1,3.51.3,2025-05-14 14:48:24
sangat membantu dan memuaskan,5,5.18.2,2025-05-14 14:47:47
sangat bermanfaat,5,5.18.2,2025-05-14 14:24:16
"tolong dong buat chat gambarnya supaya bisa dihapus, saya salah kirim gambar gabisa dihapuss",1,5.18.2,2025-05-14 14:20:02
mantap promo nya pertahan kan,5,5.18.2,2025-05-14 14:18:53
mantabsd,5,5.18.2,2025-05-14 14:16:48
Hidup Happy..dan Mudah dengan gojek,5,5.14.2,2025-05-14 14:14:45
beli makanan cuma 1 porsi nunggunya hampir 2 jam. tulisannya di aplikasi telat .gitu terus.. jadi males lama-lama pakai gojek.,1,5.17.1,2025-05-14 14:11:23
"0/5 – Top up hilang, tidak ada solusi jelas. Customer service seperti robot, hanya copy-paste template. Gojek bilang inovatif, tapi urusan uang saja gagal total. Ironis, perusahaan teknologi yang kehilangan jejak digital uang.",1,5.18.2,2025-05-14 14:09:51
"Tolong Diperbaiki , saya tidak bisa bayar PDAM Kab.Barito Kuala sudah 15 hari gangguan belum selesai2 mau suruh saya bayar denda kah ini ?",2,5.18.2,2025-05-14 14:05:05
sangat membantu,5,5.18.2,2025-05-14 13:59:14
good,5,5.18.2,2025-05-14 13:55:22
top,5,5.18.2,2025-05-14 13:51:13
"masih banyak driver lawan arus, tidak pakai plat nomor belakang, main hp sambil berkendara dll",3,4.31.1,2025-05-14 13:47:28
oke bgt,5,5.18.2,2025-05-14 13:39:34
ok mantap,5,5.18.2,2025-05-14 13:23:56
ok,5,5.14.2,2025-05-14 13:10:25
"banyak""in ngluarin vocer belanja ya :)",5,5.18.2,2025-05-14 13:06:32
Sangat senang dengan pelayanan begitu cepat,5,5.18.2,2025-05-14 13:01:01
puass pkai aplikasi gojek sangat membantu,5,5.18.2,2025-05-14 12:49:03
top,5,5.18.2,2025-05-14 12:47:39
selalu dapat diandalkan,5,5.18.2,2025-05-14 12:44:17
"pesen makanan 1 jam lebih, ga dpt driver ... ga jelas ...",2,5.18.2,2025-05-14 12:43:25
sangat membantu,5,5.18.2,2025-05-14 12:37:40
mantepppp Wee 😇,5,5.18.2,2025-05-14 12:33:58
Karena iklannya mengganggu maka uninstall dulu,1,5.13.1,2025-05-14 12:32:33
"tolong di upgrade lagi untuk tempat penjemputan nya. Dan tolong kasih tau ke drivernya kalau jemput sesuai sama titik. saya pesen gocar supaya memudahkan ini malah makin ribet, masa titik penjemputan di deket terminal ini saya disuruh nyebrang ke LRT udh tau bawa Koper 2 dan perempuan sendirian. udh sering banget dapet begitu pdhl sengaja gmw cancel karena takut ngaruh ke orderan nya. ini malah dibuat ribet ya kita capek jugaa",4,5.18.2,2025-05-14 12:25:06
sangat berguna,5,5.18.2,2025-05-14 12:02:13
"iklan pinjaman terus yg digembor gemborkan, sdh banyak memotong ongkir driver masih saja kurang bersyukur,dasar aplikator serakah",1,5.18.2,2025-05-14 11:44:58
diam dirumah tau2 kenyang modal jempol ada go food banyak promo,5,5.18.2,2025-05-14 11:44:03
"sudah pake expres di gofood, tapi tetap aja telat dan pada akhitnya sistem cancel,, apa sih koq gofood satlya ga bisa dipake, apa cuma sy aja yg alami ini ya, sudah setahun gofood sy bermasalah,sistem selalu bikin sy menunggu seharian dan dicancel pada akhirnya.😡",1,5.18.2,2025-05-14 11:40:28
sangat membantu,5,5.18.2,2025-05-14 11:40:02
bagus,5,5.18.2,2025-05-14 11:31:23
sangat membantu,5,5.15.1,2025-05-14 11:29:51
Goodjob dah...Salam satoe nyali..wani..!!!!,5,5.14.2,2025-05-14 11:16:36
Baik. SMG lancar...,5,5.16.3,2025-05-14 11:13:19
good job,5,5.18.2,2025-05-14 10:51:29
smoga promonya semakin mantap,5,4.18.3,2025-05-14 10:51:01
mantap pokoknya,5,5.18.2,2025-05-14 10:42:49
cepat dan sesuai,5,5.18.2,2025-05-14 10:33:37
ok,5,5.18.2,2025-05-14 10:29:43
"baru kali ini dibikin kecewa sama ni aplikasi, udah sering ganti driver buat ganti anter makanan, kalo seenggaknya gak mau terima jangan main accept orderannnya",3,5.18.2,2025-05-14 10:29:37
sangat bermanfaat,5,4.81.2,2025-05-14 10:20:29
lebih cepat lebih mudah,5,5.18.2,2025-05-14 10:15:00
Alhamdulilah pakai aplikasi gojek oke deh,5,5.18.2,2025-05-14 09:59:01
"sangat puas dengan pelayanan yg di berikan, driver ny ramah, dan cepat sampai dgn selamat.. terimakasih 😊🙏",5,5.14.2,2025-05-14 09:45:44
"kenapa ya, waktu saya sudah pesenan dan sudah dapat Drivernya, dan sudah sampai tujuan itu baik baik saja, waktu mau pembayaran tiba tiba pembayaran diawal dan diakhiri itu berbeda, waktu saya cek ternyata sudah terpesan 2 driver, padahal saya pesanan sekali, itu bukan terjadi sekali saja, tapi sudah kedua hingga ke tiga kalinya, banyak yang bilang kalau itu masalah jaringan / apa, padahal jaringan saja baik baik saja, mohon di perbaiki lebih lanjut lagi ya terimakasih 😃",3,5.18.2,2025-05-14 09:40:00
baik pelayanan nya recommend,5,5.18.2,2025-05-14 09:37:52
bagus,5,5.18.2,2025-05-14 09:35:41
"saya kasih 3 aja udh mau setahun aktif trz transaksi di gopay tapi GK pernah samasekali menikmati gopay later, sllu bilang qm masuk dlm antrian sampai kapan sampai kiamat gitu,selalu dalam atrian mau sampai kapan",3,5.18.2,2025-05-14 09:33:35
🌟🌟🌟🌟🌟 the best 👍,5,5.18.2,2025-05-14 09:33:34
bagus,5,5.18.2,2025-05-14 09:08:13
mantap,3,5.18.2,2025-05-14 08:53:26
"Terima kasih banyak kepada gojek, atas pelayanan dan respon yang sangat cepat ketika ada kendala, saya sudah menggunakan gojek sekitar 8 bulan lebih dan saya sangat puas terhadap kinerja aplikasi dan juga pelayanan cs yang cepat",5,5.18.2,2025-05-14 08:41:37
DISANDRA. Gk boleh tutup akun. Aneh dn lucu.,1,5.18.2,2025-05-14 08:30:40
bagus gerak ceper,5,5.18.2,2025-05-14 08:30:03
sangat membantu,5,5.18.2,2025-05-14 08:21:04
mantan. pelayanan prima,5,5.18.2,2025-05-14 08:10:05
"Ketika melakukan pembayaran di beberapa aplikasi/flatform menggunakan Gopay selalu diarahkan ke aplikasi Gojek, kenapa tidak diarahkan langsung ke aplikasi Gopay. Sangat merepotkan sekali bagi yg hanya memasang aplikasi Gopay tidak menggunakan aplikasi Gojek. Selain itu, di beberapa aplikasi yg terhubung Gopay, pembayaran dgn Gopay tidak ada pilihan Kantong Jago, padahal sangat berguna sekali bagi pengguna Gopay yg terhubung dgn Bank Jago.",1,5.18.2,2025-05-14 08:09:48
respon cepat nyaman dan aman,5,5.18.2,2025-05-14 08:09:12
sangat membantu skli,5,5.18.2,2025-05-14 07:56:48
bnyk promo,5,5.18.2,2025-05-14 07:50:30
keren..semoga berjaya,5,5.18.2,2025-05-14 07:43:05
pelayanan dan komunikasi bagus joos,5,5.18.2,2025-05-14 07:35:20
"bagus bagus aja c, ahahay awikwok. cuma nih ya, adain tarif khusus pelajar dong min 😞, soalnya ak setiap pulsek naik gojek 🙂🤚🏻",5,5.18.2,2025-05-14 07:28:24
bagus,5,5.18.2,2025-05-14 07:28:20
ok,5,5.14.2,2025-05-14 07:23:58
"saya sedang gk ada kendaraan mobil maupun motor , karna saya lagi pulang kampung , jadi sangat kesulitan untuk bepergian , padahal banyak urusan , bagaimanaaa ini ,🙏🤣",5,4.93.1,2025-05-14 07:11:46
harga murah,5,5.18.2,2025-05-14 07:02:59
Sangat membantu dalam perjalanan,5,5.18.2,2025-05-14 06:52:50
untuk kali ini bintang 5 dulu,5,5.18.2,2025-05-14 06:50:41
baik,4,5.18.2,2025-05-14 06:48:47
amanah,5,5.18.2,2025-05-14 06:47:02
mantap jalan jalan ama gojek,5,5.18.2,2025-05-14 06:40:58
bagus lah,5,5.18.2,2025-05-14 06:40:22
bagus,5,5.18.2,2025-05-14 06:34:40
jaya,5,5.18.2,2025-05-14 06:22:14
seneng pake bangeddd thanks gojekkkk,5,5.18.2,2025-05-14 06:12:51
aplikasi yang sangat membantu.,5,5.18.2,2025-05-14 06:01:15
call center tidak memberikan solusi,1,5.18.2,2025-05-14 05:51:40
banyaj promo,5,5.18.2,2025-05-14 05:47:43
bagus,5,5.12.1,2025-05-14 05:43:06
drivernys baik dan sopan.,5,5.18.2,2025-05-14 05:41:27
mantap,5,5.18.2,2025-05-14 05:41:08
Pelayanan ramah dan cepat sampai..,5,5.18.2,2025-05-14 05:40:50
mantap,5,5.18.2,2025-05-14 05:38:26
mantap,5,5.18.2,2025-05-14 05:32:22
"saya beli go food tapi makan nya tidak ada direstonya, terus bapak drivernya kerumah saya minta uang ganti saldonya katanya saldonya terpotong gojek, terus saya tidak menerima makanan nya malah dimintain uang ganti rugi saldonya , saya tidak puas dengan layanan gojek yang seperti ini",1,5.18.2,2025-05-14 05:09:13
mantap,5,5.18.2,2025-05-14 05:04:00
senang pakai aplikasi ini lancar dalam pelayanan,5,5.18.2,2025-05-14 04:59:13
mantap,5,5.18.2,2025-05-14 04:46:23
"Sampah, CS juga gamampu menyelesaikan masalah,",1,5.18.2,2025-05-14 04:46:01
good,5,5.18.2,2025-05-14 04:46:00
puassss,5,5.18.2,2025-05-14 04:44:06
mantab sekali,5,5.18.2,2025-05-14 04:22:14
aman.... nyaman.... ongkos terjangkau... dn penjemputan tepat wkt.... trm ksh Go-Jek.... 👍👍🥰🥰,5,5.18.2,2025-05-14 04:15:15
kurang efektif,3,5.18.2,2025-05-14 04:09:25
maaf bukan nya gak menghargai tapi pengantaran Gofood jadi mahal gini dari harga di restoran tersebut,2,5.18.2,2025-05-14 03:50:20
bagus dan ramah,5,5.18.2,2025-05-14 03:38:11
good,5,5.18.2,2025-05-14 03:31:54
thankyou,5,5.10.1,2025-05-14 03:28:07
"pesanan blum di hantar,SDH chat mrh sama aku,moncongmu lh katany,ngara2 orderan aku,dia ngk bisa terima orderan lain,",1,5.18.2,2025-05-14 03:23:19
top,4,5.18.2,2025-05-14 03:16:51
very good,5,5.18.2,2025-05-14 03:13:20
mantap,5,5.18.2,2025-05-14 03:05:20
bagus,5,5.18.2,2025-05-14 02:55:31
driver ramah pelayanan baik,5,5.19.1,2025-05-14 02:37:40
ok,5,5.18.2,2025-05-14 02:23:32
jadi mudah dan murah,5,5.18.2,2025-05-14 02:23:06
"tarif harga bersaing(lebih ekonomis) karena sekarang ada tambahan pilihan go hemat,namun kadang pesan go car lama dapetnya,dan kalau udah dapat,driver ngga langsung meluncur jemput penumpang,tolong di perbaiki.",4,5.18.2,2025-05-14 02:17:14
keren,5,5.18.2,2025-05-14 02:15:14
"sy dengar2 gosip katanya ada salah 1 anggota anda yg jdi mata2 polantas.jdi di daerah sy ada yg kna photo dan foto itu dikirim ke salah satu kantor polantas,dan akhirnya disaat mau byar pajak hrus byar tilang.tlong dong dikondisikan anggota anda mnjalankan tugas sbgmna mestinya.jngn jdi kaca mata polantas!!!",1,4.89.1,2025-05-14 02:01:23
bagus,5,5.18.2,2025-05-14 01:58:13
aplikasinya dah bagus tp sya suka kesulitan mendapat Drive gocar Krn jarak tempuhnya dekat 3km dri rumah ke tujuan. seringan di tolak sama drivernya. padahal saya ambil yg comfort bukan yg hemat tetap aja di tolak sampai saya telat ke tujuan gara² sering ditolak,4,5.19.1,2025-05-14 01:56:25
trmkash bayak,5,5.18.2,2025-05-14 01:56:15
drivernya ramah.. kendaraan bersih.. tepat waktu,5,5.13.1,2025-05-14 01:46:14
kadang suka error google map nya,4,5.7.2,2025-05-14 01:42:59
sippp...kemana aja lancar dengan gojek,5,5.11.1,2025-05-14 01:41:41
tetap semangat dan terus berkembang,5,5.18.2,2025-05-14 01:34:35
nyaman,5,5.18.2,2025-05-14 01:27:22
"makin hari makin jadi perampok, pemeras ongkir driver. rugi sangat",1,5.18.2,2025-05-14 01:23:50
"kebanyakan driver suka maen cancel seenaknya,.",1,5.18.2,2025-05-14 01:22:25
baik,5,5.18.2,2025-05-14 01:16:06
baguss,5,5.18.2,2025-05-14 01:11:43
Mantap,5,5.18.2,2025-05-14 00:57:44
Driver nya ramah..,5,5.18.2,2025-05-14 00:49:43
Mantap Betul,5,5.18.2,2025-05-14 00:46:46
mantul,5,5.18.2,2025-05-14 00:39:30
"kalau kita ga masak apalagi motor lagi di pakai sama suami bisa beli makanan pakai aplikasi ini,ada diskon nya juga lagi lebih hemat dan cepat.",5,5.18.2,2025-05-14 00:35:46
Suka,5,5.18.2,2025-05-14 00:32:11
senang abang drivernya ramah,5,5.18.2,2025-05-14 00:29:59
mantap gojek,5,5.5.1,2025-05-14 00:24:38
good,5,5.18.2,2025-05-14 00:23:43
Baik,3,5.18.2,2025-05-14 00:14:04
"Tingkatkan lagi pemilihan rute, titik kami belum terlihat di map, driver sering nyasar",5,5.18.2,2025-05-14 00:13:53
oke,5,5.18.2,2025-05-13 23:56:00
mantap cuyyy,5,5.18.2,2025-05-13 23:46:29
sekarang kalo mau pesen Go car sush ngga kaya dlu.. kadang kita pesen yg reguler klo orng nya lbh dari 4 ga mau padhl anak2 trus pas kita pesen yg XL dpt nya mobil2 itu juga.. jadi pnyortiran nya kurang bagus.,3,5.18.2,2025-05-13 23:38:59
bagus,5,5.18.2,2025-05-13 23:24:25
bagus,5,5.18.2,2025-05-13 23:17:13
aplikasi sangat membantu dan banyak promonya. Terima kasih Gojek.,5,5.18.2,2025-05-13 23:11:39
Mantap,5,5.15.1,2025-05-13 23:09:34
"saya mau login tapi lupa pin, saya sudah coba tutor yutube dan coba sesuai petunjuk anjuran apk, tetap gagal, sesulit inikah mau log in???",2,5.18.2,2025-05-13 23:00:45
ok,5,5.17.1,2025-05-13 22:27:09
membantu perjalanan,5,5.18.2,2025-05-13 22:14:15
😘,5,5.18.2,2025-05-13 21:38:32
mantap,5,5.19.1,2025-05-13 20:40:05
"sangat mengecewakan sebagai pelanggan setia gojek masa gara² telat 2 hari pembayaran gopay latter ,sampai di bekukan gopay pinjam sama paylater nya ,saya kasih bintang 1 ,nanti kalau udh aktif lg saya ksih bintang 5 lagi",1,5.18.2,2025-05-13 19:25:42
Sangat membantu,5,5.16.1,2025-05-13 19:01:23
"saya download aplikasinya,,saya top up tapi saya lupa email juga juga PINnya dan aplikasinya belum saya masukin data KTP saya ..di telfon colssnternya malahan dia kirim ke email ,,padahal dah saya jelaskan email saya GK ingat cumn ada no hp yg aktif ...jdinya hilang uang saya 500cuma2. ..udah di email tapi tidak dapat jawabannya, cumn di tanggapi tapi hbis itu tidak ada notif lagi makin lama parah ni Go-Jek",1,5.18.2,2025-05-13 18:51:18
apk paling berjasa di Indonesia,5,5.12.1,2025-05-13 18:50:55
cepat dan drivernya sopan,5,5.18.2,2025-05-13 18:45:20
mudah digunakan,5,5.18.2,2025-05-13 18:01:53
tidak memuaskan saat pesen food saat gerimis driver banyak menolak emangnya GK dikasih jas hujan saya pesen hampir 6jam..,1,5.18.2,2025-05-13 17:33:54
oke sangat bermanfaat aplikaai gojek imi karena bisa pesen makanan atau kemdaraan ataupun yg lainnya..,5,5.18.2,2025-05-13 17:13:10
Okkk,5,5.12.1,2025-05-13 16:57:57
Good,5,5.18.2,2025-05-13 16:56:04
ada aplikasi gopay pinjam tp cerewetnya minta ampun telat sehari udh ngoceh² padahal kita bayar besoknya tapi ketakutan kaya ga di bayar berasa kaya minjem ke tetangga debcol nya cerewet banget segala ngancem lagi .,1,5.18.2,2025-05-13 16:49:10
good choices,5,5.18.2,2025-05-13 16:40:13
driver gofood nya sangat susah didapatkan + terlalu lama saya menunggu pesanan saya.,2,5.18.2,2025-05-13 16:20:05
"Utk management Gojek, tolong fikirkan jika waktu hujan... itu waktu dimana orderan Gofood sedang tinggi2nya..., tapi banyak driver tk mau ambil... paham kan maksud saya... misal: bonus gede kek, gpp harga ongkir naik di waktu hujan asal cepet....",5,5.17.1,2025-05-13 16:11:39
"saya tidak pernah merasa pesan makanan sama skali,tpi tiba2 di notifikasi pesanan siap di antar..padahal hp saya dlm keadaan mati 2 jam karna sedang di charger,saya nyalakan hp saya muncul notifikasi pesanan siap diantar dgn pembayaraN cash..saya mau telp CS nya tdak bisa krna tdak ada no telp yg bsa di hub...lagi di toilet kah atau lagi izin istirahat makan CS nya??",1,4.24.2,2025-05-13 15:49:39
"PT gojek tidak mampu menyelesaikan permasalahan saya terkait akun tabungan gopay by jago. pulsa saya sudah habis 50ribu , telpon cs nya .sudah di tunggu 1x24 jam , tapi blom ada respon penonaktifkan / donwupgrade gopay plus ...",1,5.18.2,2025-05-13 15:45:02
saya topup etol tapi gak masuk masuk,1,5.18.2,2025-05-13 15:24:24
sangat baik,5,5.18.2,2025-05-13 15:17:54
👍👍👍,5,5.18.2,2025-05-13 15:12:12
saya boking motor GK dapat dapat ojol terus saya sudah dua jam mesen motor dari tadi GK dapet dapet,1,5.18.2,2025-05-13 14:57:26
mantap,5,5.18.2,2025-05-13 14:52:41
"harga mahal, pelayanan tidak tepat waktu seperti yang seharusnya . semoga cepat tutup .",1,5.6.1,2025-05-13 14:25:15
ntap,5,5.18.2,2025-05-13 14:17:51
"semua promo di blokir, katanya ada penyalahgunaan promo, padahal kalo sistem yang salah kasih promo, kenapa pengguna nya yg kena sanksi, sudah minta bantuan dan katanya tidak bisa mengubah sanksi, dan terancam akun di blokir, dan sudah saya uninstal ganti aplikasi lain saja😤",1,5.17.1,2025-05-13 14:15:49
mantapzz ..,4,5.18.2,2025-05-13 14:14:59
aman banger,5,5.18.2,2025-05-13 14:10:34
sangat baik,5,5.18.2,2025-05-13 14:09:54
ngebantu bgtttt tquu GOJEK,5,5.18.2,2025-05-13 14:04:17
